Gender,Stroke,PrelimsTime,FinalsTime,Lane
F,Breast,89.18,87.65,Outside
F,Breast,87.72,87.74,Outside
M,Breast,58.08,56.52,Inside
M,Breast,57.97,57.44,Inside
M,Breast,60.01,58.49,Outside
M,Breast,60.31,59.58,Outside
M,Breast,60.36,59.33,Inside
M,Breast,60.66,60.19,Inside
M,Breast,65.06,62.99,Outside
M,Breast,63.92,63.98,Outside
F,Back,59.62,57.21,Inside
F,Back,62.26,60.76,Inside
F,Back,67.31,66.08,Outside
F,Back,66.16,66.23,Outside
F,Back,68.99,66.69,Inside
F,Back,76.42,76.06,Outside
M,Back,51.58,51.0,Inside
M,Back,51.93,51.0,Inside
M,Back,55.03,54.71,Outside
M,Back,56.5,57.32,Outside
M,Back,57.42,57.4,Inside
M,Back,60.68,59.22,Inside
M,Back,63.54,64.11,Outside
M,Back,103.78,94.8,Outside
F,Free,54.05,52.86,Inside
F,Free,54.12,54.16,Inside
F,Free,58.43,57.82,Outside
F,Free,59.19,59.47,Outside
F,Free,59.86,58.21,Inside
F,Free,60.5,59.87,Inside
F,Free,66.52,65.54,Outside
F,Free,68.78,66.74,Outside
M,Free,45.85,44.73,Inside
M,Free,45.94,45.09,Inside
M,Free,46.82,46.7,Outside
M,Free,46.75,47.25,Outside
M,Free,47.22,46.98,Inside
M,Free,47.75,48.01,Inside
M,Free,49.73,49.26,Outside
M,Free,50.67,51.9,Outside
F,Fly,61.22,59.28,Inside
F,Fly,62.54,62.47,Inside
F,Fly,95.61,91.43,Outside
F,Fly,102.65,97.06,Outside
F,Fly,102.92,102.28999999999999,Inside
M,Fly,51.4,48.42,Inside
M,Fly,53.65,52.66,Inside
M,Fly,61.44,57.37,Outside
M,Fly,59.84,58.26,Outside
M,Fly,62.28,60.76,Inside
M,Fly,62.99,61.96,Inside
F,Breast,73.95,71.25,Inside
F,Breast,76.2,73.42,Inside
F,Breast,83.13,76.32,Outside
F,Breast,84.64,81.83,Outside
F,Breast,91.08,88.34,Inside
F,Breast,90.99,90.33,Inside
M,Breast,61.77,57.61,Inside
M,Breast,60.3,59.6,Inside
M,Breast,76.09,73.4,Outside
M,Breast,76.98,76.16,Outside
M,Breast,78.41,78.66,Inside
M,Breast,81.62,79.72,Inside
F,Back,63.59,58.28,Inside
F,Back,64.98,62.99,Inside
F,Back,72.85,67.94,Outside
F,Back,74.32,72.81,Outside
F,Back,82.16,80.26,Inside
F,Back,82.03999999999999,82.5,Inside
M,Back,57.84,54.69,Inside
M,Back,57.25,55.03,Inside
M,Back,62.48,61.31,Outside
M,Back,62.01,62.24,Outside
M,Back,63.98,61.55,Inside
M,Back,67.81,66.87,Inside
M,Back,76.82,77.64,Outside
F,Free,54.76,53.87,Inside
F,Free,55.28,54.94,Inside
F,Free,58.12,56.76,Outside
F,Free,57.68,58.0,Outside
F,Free,61.29,59.51,Inside
F,Free,61.0,61.07,Inside
F,Free,98.66,95.31,Outside
M,Free,47.46,44.94,Inside
M,Free,48.81,48.3,Inside
M,Free,50.81,49.79,Outside
M,Free,50.35,50.59,Outside
M,Free,50.83,51.56,Inside
M,Free,52.15,52.4,Inside
M,Free,58.85,57.66,Outside
M,Free,57.79,58.75,Outside
F,Fly,62.04,60.09,Inside
F,Fly,61.99,62.66,Inside
F,Fly,72.18,73.26,Outside
F,Fly,79.76,82.84,Outside
F,Fly,81.91,74.71000000000001,Inside
F,Fly,86.14,85.7,Inside
F,Fly,104.25,103.7,Outside
F,Fly,109.92,111.72999999999999,Outside
M,Fly,51.85,49.92,Inside
M,Fly,51.83,52.33,Inside
M,Fly,54.84,54.25,Outside
M,Fly,54.82,54.94,Outside
M,Fly,55.36,55.81,Inside
M,Fly,56.01,56.65,Inside
M,Fly,58.41,58.47,Outside
M,Fly,58.69,59.0,Outside
F,Breast,65.55,63.97,Inside
F,Breast,70.91,67.95,Inside
F,Breast,80.86,81.6,Outside
F,Breast,80.53999999999999,82.34,Outside
F,Breast,81.32,80.78,Inside
F,Breast,81.85,81.11,Inside
F,Breast,96.75999999999999,93.77000000000001,Outside
F,Breast,97.66,98.41,Outside
M,Breast,61.31,60.29,Inside
M,Breast,62.22,62.95,Inside
M,Breast,64.51,65.57,Outside
M,Breast,64.47,66.17,Outside
M,Breast,64.56,64.11,Inside
M,Breast,67.38,66.09,Inside
M,Breast,71.62,70.2,Outside
M,Breast,73.09,71.87,Outside
F,Back,60.78,60.52,Inside
F,Back,63.26,62.76,Inside
F,Back,70.12,68.21000000000001,Outside
F,Back,72.58,73.34,Outside
F,Back,72.82,72.14,Inside
F,Back,74.58,73.94,Inside
F,Back,85.78999999999999,85.38,Outside
F,Back,86.43,86.46000000000001,Outside
M,Back,54.13,51.06,Inside
M,Back,53.21,53.76,Inside
M,Back,61.84,61.73,Outside
M,Back,60.98,62.59,Outside
M,Back,63.55,60.86,Inside
M,Back,62.05,61.13,Inside
M,Back,67.74,68.51,Outside
M,Back,67.26,68.64,Outside
F,Free,53.95,53.93,Inside
F,Free,54.33,53.94,Inside
F,Free,59.87,59.2,Outside
F,Free,59.76,61.77,Outside
F,Free,60.13,58.79,Inside
F,Free,60.35,59.17,Inside
F,Free,77.15,73.43,Outside
F,Free,76.16,75.9,Outside
M,Free,47.5,47.08,Inside
M,Free,47.47,47.18,Inside
M,Free,49.94,50.1,Outside
M,Free,50.33,50.21,Outside
M,Free,50.85,50.42,Inside
M,Free,50.43,51.07,Inside
M,Free,54.39,54.45,Outside
M,Free,56.69,56.98,Outside
F,Fly,61.73,59.52,Inside
F,Fly,62.63,61.07,Inside
F,Fly,70.48,68.65,Outside
F,Fly,69.67,75.11,Outside
F,Fly,72.0,69.52,Inside
F,Fly,72.36,69.59,Inside
F,Fly,83.58,80.67,Outside
F,Fly,83.18,84.45,Outside
M,Fly,51.08,50.59,Inside
